GoC	MFB	MLI	PkC_cs	PkC_ss	session
0	5	4	4	6	Geneva_2022-12-08_11-26-57_1
0	0	0	0	0	Geneva_2022-12-08_11-51-03_2
0	0	0	0	0	Geneva_2022-12-08_11-57-34_3
0	0	0	0	0	Geneva_2022-12-08_12-12-46_4
1	0	0	0	0	Geneva_2022-12-08_12-25-08_5
0	0	0	0	0	Geneva_2022-12-08_12-45-09_6
0	0	2	0	0	Geneva_2022-12-08_13-01-10_7
0	0	0	0	1	H_2022-12-12_12-44-14_2
0	0	0	0	3	H_2022-12-12_12-54-17_3
0	0	0	0	6	H_2022-12-12_13-05-25_4
0	0	0	0	2	H_2022-12-12_13-09-41_5
0	0	2	0	7	H_2022-12-12_13-19-33_6
0	0	0	2	5	H_2022-12-12_13-28-02_7
0	0	0	0	0	H_2022-12-12_13-34-31_8
0	0	4	5	4	H_2022-12-12_13-40-31_9
0	0	0	0	0	H_2022-12-12_13-53-59_10
0	0	0	8	2	H_2022-12-12_13-57-40_11
0	0	0	0	0	H_2022-12-12_14-10-27_12
0	0	4	11	2	H_2022-12-12_14-13-14_13
0	0	1	8	8	H_2022-12-12_14-23-14_14
0	0	0	0	0	H_2022-12-12_14-33-31_15
0	0	0	0	5	H_2022-12-12_14-34-11_16
0	7	2	0	0	H_2022-12-13_11-12-08_17
0	7	4	3	1	H_2022-12-13_11-22-18_18
0	5	4	4	2	H_2022-12-13_11-32-53_19
1	2	4	5	3	H_2022-12-13_11-41-20_20
0	1	2	10	3	H_2022-12-13_11-53-31_21
0	3	2	5	3	H_2022-12-13_12-04-32_22
0	2	1	13	5	H_2022-12-13_12-23-50_23
1	1	1	0	2	H_2022-12-13_12-41-41_24
1	14	3	2	1	H_2022-12-13_12-45-12_25
0	0	2	9	6	H_2022-12-13_12-58-49_26
0	0	0	0	1	I_Cbx_2025-02-25_10-33-00_7
0	1	0	0	0	I_Cbx_2025-02-25_10-52-49_8
0	15	0	1	0	I_Cbx_2025-02-25_11-02-00_9
0	8	0	0	2	I_Cbx_2025-02-25_11-16-25_10
0	2	0	0	0	I_Cbx_2025-02-25_11-34-34_11
0	0	0	0	0	I_Cbx_2025-02-25_11-52-54_12
0	13	0	0	0	I_Cbx_2025-02-25_11-58-22_13
0	9	0	0	0	I_Cbx_2025-02-26_10-17-12_14
0	12	1	3	1	I_Cbx_2025-02-26_10-40-04_15
0	0	5	13	8	I_Cbx_2025-02-26_11-22-38_16
1	2	1	10	0	I_Cbx_2025-02-26_11-47-10_17
1	1	0	1	4	I_Cbx_2025-02-26_12-10-55_18
0	0	0	0	0	I_Cbx_2025-02-27_11-10-36_19
0	3	0	0	2	I_Cbx_2025-02-27_11-44-31_20
0	3	0	0	0	I_Cbx_2025-02-27_12-16-01_21
0	0	0	0	0	I_MPFc_2025-03-03_11-24-05_1
0	0	0	0	0	I_MPFc_2025-03-03_11-39-01_2
0	0	0	0	0	I_MPFc_2025-03-03_11-54-00_3
0	12	1	0	0	I_MPFc_2025-03-04_10-07-57_4
1	8	2	0	0	I_MPFc_2025-03-04_10-39-20_5
1	1	0	1	0	I_MPFc_2025-03-04_11-30-11_6
1	2	2	0	0	I_MPFc_2025-03-04_11-48-08_7
0	0	0	0	0	K_Cbx_2025-03-05_10-48-37_1
0	0	0	0	0	K_Cbx_2025-03-05_11-40-20_2
0	3	0	1	0	K_Cbx_2025-03-05_11-58-38_3
0	0	0	0	0	K_Cbx_2025-03-06_10-36-13_4
1	3	2	7	0	K_Cbx_2025-03-06_10-40-40_5
0	1	0	1	0	K_Cbx_2025-03-06_11-11-25_6
0	3	0	0	0	K_Cbx_2025-03-06_11-41-18_7
0	0	0	0	0	K_Cbx_2025-03-06_12-14-53_8
1	2	0	0	0	K_Cbx_2025-03-06_12-19-56_9
1	15	0	0	0	K_Cbx_2025-03-07_10-18-06_10
0	8	0	0	1	K_Cbx_2025-03-07_10-50-49_11
0	0	0	0	0	K_Cbx_2025-03-07_11-42-17_12
0	0	0	0	0	K_Cbx_2025-03-07_12-24-59_13
0	0	0	0	0	K_Cbx_2025-03-07_12-24-59_13
